nohup: les entrées sont ignorées

  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/

 :: Spring Boot ::                (v3.3.4)

2024-11-09T09:10:54.858Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:11:54.864Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:12:54.870Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:21:11.751Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:22:11.756Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:23:11.762Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:24:12.574Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:25:12.580Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:26:12.586Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:27:12.593Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:28:12.599Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:29:12.605Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:30:12.614Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:31:12.620Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:32:12.625Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:33:12.630Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:34:12.637Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:35:12.643Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:36:12.648Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:37:12.653Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:38:12.659Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:39:12.664Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:40:12.670Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:41:12.675Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:42:12.681Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
2024-11-09T09:43:12.687Z  INFO 54944 --- [backendwave] [   scheduling-1] c.b.job.TransactionStatusUpdateJob       : Début du job de mise à jour des transactions en attente
